store_id,month,revenue,transactions
S01,2024-01,4693444.67,1357
S01,2024-02,4053522.17,1250
S01,2024-03,4722961.95,1453
S01,2024-04,4617775.94,1327
S01,2024-05,4989575.47,1439
S01,2024-06,4581390.63,1379
S01,2024-07,4505491.67,1371
S01,2024-08,5234627.23,1566
S01,2024-09,5366372.7,1571
S01,2024-10,6929713.53,1976
S01,2024-11,5884313.37,1686
S01,2024-12,5914648.11,1666
S02,2024-01,3611244.96,1087
S02,2024-02,3236419.2,998
S02,2024-03,3887910.03,1201
S02,2024-04,3886779.83,1129
S02,2024-05,4142625.37,1213
S02,2024-06,3749444.25,1130
S02,2024-07,4056018.31,1130
S02,2024-08,4320751.46,1242
S02,2024-09,4262936.39,1236
S02,2024-10,5495714.11,1590
S02,2024-11,5121889.31,1453
S02,2024-12,4984302.46,1381
S03,2024-01,4736923.7,1455
S03,2024-02,4629699.44,1344
S03,2024-03,5352299.2,1620
S03,2024-04,4717246.65,1435
S03,2024-05,5190623.23,1568
S03,2024-06,5030518.18,1522
S03,2024-07,5301330.83,1537
S03,2024-08,5785637.72,1653
S03,2024-09,5582727.64,1602
S03,2024-10,7064116.01,2062
S03,2024-11,6716717.57,1941
S03,2024-12,6781711.37,1956
S04,2024-01,3102777.73,921
S04,2024-02,2671751.47,811
S04,2024-03,3509034.36,1073
S04,2024-04,3093261.14,935
S04,2024-05,3723639.83,1087
S04,2024-06,3179814.63,958
S04,2024-07,3423134.91,1022
S04,2024-08,3723748.85,1104
S04,2024-09,3673299.27,1076
S04,2024-10,4855549.43,1412
S04,2024-11,4344995.61,1255
S04,2024-12,4004727.52,1180
S05,2024-01,2487198.21,712
S05,2024-02,2311214.04,685
S05,2024-03,2677567.8,814
S05,2024-04,2328084.83,693
S05,2024-05,2488098.49,710
S05,2024-06,2343929.69,709
S05,2024-07,2416997.4,719
S05,2024-08,2695219.67,829
S05,2024-09,2732881.36,787
S05,2024-10,3458530.52,955
S05,2024-11,3285215.93,950
S05,2024-12,3218474.78,916
S06,2024-01,4211450.42,1304
S06,2024-02,3826439.41,1168
S06,2024-03,4607090.05,1344
S06,2024-04,4003302.62,1194
S06,2024-05,4239865.1,1300
S06,2024-06,4173543.48,1261
S06,2024-07,4314761.02,1248
S06,2024-08,4947629.95,1425
S06,2024-09,4771137.09,1352
S06,2024-10,6233692.11,1832
S06,2024-11,5825836.04,1675
S06,2024-12,5694862.83,1605
S07,2024-01,2852695.19,874
S07,2024-02,2406371.98,729
S07,2024-03,3033287.47,903
S07,2024-04,2837856.15,827
S07,2024-05,2833681.46,888
S07,2024-06,2869025.48,860
S07,2024-07,2857652.81,782
S07,2024-08,3478611.84,999
S07,2024-09,3348225.01,974
S07,2024-10,4411218.05,1219
S07,2024-11,3417384.5,1000
S07,2024-12,3697421.75,1066
S08,2024-01,2866981.58,853
S08,2024-02,2532311.5,756
S08,2024-03,3026489.35,912
S08,2024-04,2684845.41,793
S08,2024-05,2915474.61,856
S08,2024-06,2690587.34,821
S08,2024-07,3017992.4,855
S08,2024-08,3246374.12,937
S08,2024-09,3415641.91,971
S08,2024-10,3686998.28,1129
S08,2024-11,3603379.47,1031
S08,2024-12,3516932.54,999
S09,2024-01,2095670.85,659
S09,2024-02,2056103.34,629
S09,2024-03,2526018.37,762
S09,2024-04,2244373.83,680
S09,2024-05,2532842.23,729
S09,2024-06,2127157.5,624
S09,2024-07,2342543.66,700
S09,2024-08,2817237.6,809
S09,2024-09,2529505.48,749
S09,2024-10,3098478.67,890
S09,2024-11,2908172.97,806
S09,2024-12,2745332.37,799
S10,2024-01,4818733.91,1449
S10,2024-02,4399778.38,1309
S10,2024-03,5125248.2,1545
S10,2024-04,4488904.27,1388
S10,2024-05,5076237.2,1531
S10,2024-06,4964729.54,1459
S10,2024-07,4587288.59,1387
S10,2024-08,5373942.86,1628
S10,2024-09,5456768.69,1556
S10,2024-10,6796747.79,1989
S10,2024-11,6550026.67,1889
S10,2024-12,6114366.62,1780
S11,2024-01,2623827.89,747
S11,2024-02,2311021.22,699
S11,2024-03,2929155.27,860
S11,2024-04,2470068.66,752
S11,2024-05,2898573.79,830
S11,2024-06,2657197.97,768
S11,2024-07,2601802.69,785
S11,2024-08,3171181.9,903
S11,2024-09,2969668.99,856
S11,2024-10,3627114.11,1063
S11,2024-11,3387426.74,1010
S11,2024-12,3377077.7,941
S12,2024-01,3528595.7,1100
S12,2024-02,3105299.88,977
S12,2024-03,3771678.94,1115
S12,2024-04,3614095.36,1073
S12,2024-05,3833798.4,1145
S12,2024-06,3685568.63,1114
S12,2024-07,3867258.5,1135
S12,2024-08,3895655.85,1182
S12,2024-09,4052058.71,1180
S12,2024-10,5060564.57,1433
S12,2024-11,4842825.49,1393
S12,2024-12,4590159.67,1316
