notice_id_a,notice_id_b,label,estimated_similarity,survives_candidate_stage,candidate_count
N010018,N010020,same,0.2421875,False,5925
N007876,N008565,different,0.4765625,False,5608
N005451,N005452,same,0.375,False,1520
N008464,N010231,different,0.296875,False,2795
N000420,N001104,different,0.4921875,False,2968
N004781,N005219,different,0.578125,False,1523
N007021,N010547,different,0.59375,True,5252
N004413,N008734,different,0.3125,False,2314
N007783,N007784,same,0.3671875,True,7435
N001104,N001107,same,0.3203125,False,5853
N006958,N006959,same,0.421875,False,5905
N003107,N007431,different,0.6875,True,2511
N010497,N011446,different,0.640625,True,2845
N002561,N003545,different,0.2890625,False,1932
N004217,N007965,different,0.5859375,True,2796
N006099,N006100,same,0.625,True,2785
N009010,N009562,different,0.3515625,False,3467
N005332,N005333,same,0.921875,True,3580
N008288,N010448,different,0.7734375,True,5240
N002391,N009409,different,0.3828125,False,2826
N001001,N007428,different,0.390625,False,2340
N002919,N002920,same,1.0,True,7474
N007223,N008301,different,0.578125,True,5867
N005352,N007867,different,0.3515625,False,2664
N007893,N007894,same,0.9296875,True,3529
N002670,N007972,different,0.796875,True,6037
N006038,N008642,different,0.46875,True,3534
N004523,N007453,different,0.4609375,False,7520
N006491,N010563,different,0.6875,True,6162
N002902,N010086,different,0.515625,True,7259
N001013,N003939,different,0.5,True,7383
N002612,N004456,different,0.3515625,False,2622
N003308,N005945,different,0.2578125,False,2621
N002811,N007128,different,0.5390625,True,4736
N007478,N011108,different,0.3828125,False,4165
N001760,N001761,same,0.96875,True,5865
N004944,N009237,different,0.4140625,False,2915
N008261,N008262,same,0.6328125,True,5207
N003630,N009918,different,0.5546875,True,3317
N003948,N008608,different,0.3125,False,2850
N008997,N008998,same,0.546875,True,3466
N004789,N005917,different,0.703125,True,7084
N003672,N008071,different,0.8203125,True,2388
N009235,N009236,same,0.4921875,False,495
N001817,N002597,different,0.53125,True,6290
N000985,N000986,same,0.21875,False,6217
N000993,N010660,different,0.5,True,4791
N003269,N010318,different,0.6953125,True,7581
N011750,N011966,different,0.6640625,True,5820
N010357,N010360,same,1.0,True,5591
N001163,N001165,same,1.0,True,1760
N011255,N011732,different,0.59375,True,6571
N007191,N011803,different,0.328125,False,2560
N003422,N008330,different,0.3359375,False,2261
N004762,N011915,different,0.65625,True,2079
N006325,N006326,same,0.9375,True,6606
N003658,N003661,same,1.0,True,4513
N010135,N010136,same,1.0,True,6104
N003079,N011928,different,0.640625,True,2339
N000268,N009659,different,0.7890625,True,2436
N001173,N001174,same,0.625,True,2790
N004065,N007546,different,0.6484375,True,3163
N000702,N007932,different,0.2734375,False,5897
N009387,N009517,different,0.6171875,True,7024
N000358,N007166,different,0.5078125,False,6438
N007841,N011872,different,0.3125,False,2126
N000576,N000577,same,0.2109375,False,4362
N003372,N008041,different,0.609375,True,4832
N006470,N009323,different,0.6015625,True,3215
N001685,N001686,same,0.6796875,True,3348
N002358,N005690,different,0.640625,True,7632
N002216,N002218,same,0.96875,True,5957
N003837,N007101,different,0.703125,True,5970
N008995,N010419,different,0.53125,True,6951
N001394,N003813,different,0.2890625,False,2402
N003816,N009648,different,0.6484375,True,2140
N000883,N003126,different,0.296875,False,2747
N010748,N011807,different,0.546875,True,1527
N006050,N007874,different,0.4140625,False,6457
N011687,N011688,same,0.984375,True,5274
N000036,N011140,different,0.515625,True,3970
N000051,N000052,same,1.0,True,5324
N001105,N007889,different,0.2734375,False,2073
N004491,N004492,same,0.6640625,True,5296
N004978,N009682,different,0.359375,False,2481
N008379,N008380,same,0.890625,True,5297
N001189,N011628,different,0.3671875,False,7323
N000183,N001889,different,0.7265625,True,1988
N006225,N006227,same,0.2421875,False,2722
N002447,N007313,different,0.484375,False,4654
N005321,N005322,same,0.921875,True,6707
N004563,N004564,same,0.4609375,True,3611
N001497,N001498,same,0.6171875,True,2788
N002729,N008105,different,0.6640625,True,6013
N000314,N008220,different,0.4921875,True,6257
N001902,N009227,different,0.7265625,True,2798
N001376,N009439,different,0.734375,True,2799
N003019,N009498,different,0.4375,False,4476
N003883,N004988,different,0.4375,False,2380
N004822,N007764,different,0.53125,False,5790
N000255,N007615,different,0.5703125,True,2657
N005676,N011302,different,0.5,True,3638
N003403,N007889,different,0.296875,False,2598
