revision_id,product_sk,mrp,selling_price,effective_from,effective_to
500001,1001,98.5,87.95,2022-01-01,2023-10-12
500002,1001,109.26,97.55,2023-10-13,2023-11-08
500003,1001,115.86,103.45,2023-11-09,2024-06-13
500004,1001,128.09,114.37,2024-06-14,9999-12-31
500005,1002,134.34,119.95,2022-01-01,2023-09-18
500006,1002,144.95,129.42,2023-09-19,2024-05-23
500007,1002,167.18,149.27,2024-05-24,2024-07-27
500008,1002,173.67,155.06,2024-07-28,9999-12-31
500009,1003,70.5,62.95,2022-01-01,2024-04-13
500010,1003,72.68,64.89,2024-04-14,2024-09-25
500011,1003,83.61,74.65,2024-09-26,9999-12-31
500012,1004,335.94,299.95,2022-01-01,2023-07-08
500013,1004,332.46,296.84,2023-07-09,2024-01-29
500014,1004,341.19,304.63,2024-01-30,2024-10-22
500015,1004,353.82,315.91,2024-10-23,9999-12-31
500016,1005,810.82,723.95,2022-01-01,2023-07-17
500017,1005,898.55,802.28,2023-07-18,2023-07-18
500018,1005,854.69,763.12,2023-07-19,2024-07-12
500019,1005,928.05,828.62,2024-07-13,9999-12-31
500020,1006,1421.22,1268.95,2022-01-01,2023-07-25
500021,1006,1631.36,1456.57,2023-07-26,2024-04-25
500022,1006,1872.19,1671.6,2024-04-26,2024-05-21
500023,1006,2027.63,1810.38,2024-05-22,9999-12-31
500024,1007,755.94,674.95,2022-01-01,2023-04-07
500025,1007,689.58,615.7,2023-04-08,2023-07-19
500026,1007,725.8,648.04,2023-07-20,2023-11-20
500027,1007,748.26,668.09,2023-11-21,2024-02-15
500028,1007,825.5,737.05,2024-02-16,9999-12-31
500029,1008,74.98,66.95,2022-01-01,2024-06-19
500030,1008,79.2,70.71,2024-06-20,2024-07-16
500031,1008,73.44,65.57,2024-07-17,2024-08-07
500032,1008,77.2,68.93,2024-08-08,9999-12-31
500033,1009,241.86,215.95,2022-01-01,2024-07-20
500034,1009,239.1,213.48,2024-07-21,2024-09-24
500035,1009,247.23,220.74,2024-09-25,2024-10-21
500036,1009,261.4,233.39,2024-10-22,9999-12-31
500037,1010,277.7,247.95,2022-01-01,2023-05-14
500038,1010,281.37,251.22,2023-05-15,9999-12-31
500039,1011,61.54,54.95,2022-01-01,2024-01-26
500040,1011,64.71,57.78,2024-01-27,9999-12-31
500041,1012,184.74,164.95,2022-01-01,2023-04-03
500042,1012,203.19,181.42,2023-04-04,2024-07-11
500043,1012,204.76,182.82,2024-07-12,2024-08-09
500044,1012,194.82,173.95,2024-08-10,9999-12-31
500045,1013,99.62,88.95,2022-01-01,2024-10-02
500046,1013,99.68,89.0,2024-10-03,9999-12-31
500047,1014,104.1,92.95,2022-01-01,2024-10-03
500048,1014,112.64,100.57,2024-10-04,9999-12-31
500049,1015,379.62,338.95,2022-01-01,2023-12-17
500050,1015,387.87,346.31,2023-12-18,2024-03-12
500051,1015,419.24,374.32,2024-03-13,2024-09-02
500052,1015,467.97,417.83,2024-09-03,2024-09-25
500053,1015,487.63,435.38,2024-09-26,9999-12-31
500054,1016,262.02,233.95,2022-01-01,2023-03-26
500055,1016,281.62,251.45,2023-03-27,2023-09-22
500056,1016,296.08,264.36,2023-09-23,2023-10-21
500057,1016,321.91,287.42,2023-10-22,2024-06-17
500058,1016,357.12,318.86,2024-06-18,9999-12-31
500059,1017,102.98,91.95,2022-01-01,2024-07-25
500060,1017,101.21,90.37,2024-07-26,2024-10-21
500061,1017,106.57,95.15,2024-10-22,9999-12-31
500062,1018,110.82,98.95,2022-01-01,2023-11-18
500063,1018,114.68,102.39,2023-11-19,2024-06-15
500064,1018,120.59,107.67,2024-06-16,2024-11-01
500065,1018,126.65,113.08,2024-11-02,9999-12-31
500066,1019,713.38,636.95,2022-01-01,2024-03-27
500067,1019,699.52,624.57,2024-03-28,2024-06-29
500068,1019,747.97,667.83,2024-06-30,9999-12-31
500069,1020,79.46,70.95,2022-01-01,2023-11-17
500070,1020,75.79,67.67,2023-11-18,2024-04-23
500071,1020,71.14,63.52,2024-04-24,2024-09-10
500072,1020,80.96,72.29,2024-09-11,9999-12-31
500073,1021,64.9,57.95,2022-01-01,2024-05-01
500074,1021,69.64,62.18,2024-05-02,2024-08-29
500075,1021,68.81,61.44,2024-08-30,2024-10-20
500076,1021,65.02,58.05,2024-10-21,9999-12-31
500077,1022,294.5,262.95,2022-01-01,2023-10-06
500078,1022,314.5,280.8,2023-10-07,9999-12-31
500079,1023,1499.62,1338.95,2022-01-01,2023-02-01
500080,1023,1619.2,1445.71,2023-02-02,2023-11-16
500081,1023,1750.64,1563.07,2023-11-17,2023-12-01
500082,1023,1765.48,1576.32,2023-12-02,2024-10-10
500083,1023,1712.07,1528.63,2024-10-11,9999-12-31
500084,1024,684.26,610.95,2022-01-01,2023-04-06
500085,1024,692.17,618.01,2023-04-07,2023-07-27
500086,1024,650.87,581.13,2023-07-28,2024-05-09
500087,1024,664.54,593.34,2024-05-10,2024-07-17
500088,1024,666.3,594.91,2024-07-18,9999-12-31
500089,1025,192.58,171.95,2022-01-01,2023-02-26
500090,1025,192.32,171.71,2023-02-27,2024-05-12
