product_sk,product_code,product_name,category_id,brand,pack_size,uom,valid_from,valid_to,is_current
1001,P100005,Thums Up Mango Juice 250g,C03,Thums Up,250g,EA,2019-04-01,9999-12-31,True
1002,P100007,Vim Dishwash Bar 1kg,C08,Vim,1kg,EA,2019-04-01,9999-12-31,True
1003,P100019,Sunfeast Cookies 150g,C01,Sunfeast,150g,EA,2019-04-01,9999-12-31,True
1004,P100026,Dhara Rice Bran Oil 5L,C05,Dhara,5L,EA,2019-04-01,9999-12-31,True
1005,P100033,Gold Winner Mustard Oil 1L,C05,Gold Winner,1L,EA,2019-04-01,9999-12-31,True
1006,P100035,Huggies Diapers Small,C09,Huggies,Small,EA,2019-04-01,9999-12-31,True
1007,P100044,Mamypoko Baby Powder XL,C09,Mamypoko,XL,EA,2019-04-01,9999-12-31,True
1008,P100049,Britannia Cream Biscuit 60g,C01,Britannia,60g,EA,2019-04-01,9999-12-31,True
1009,P100057,McCain French Fries 1kg,C10,McCain,1kg,EA,2019-04-01,9999-12-31,True
1010,P100066,Bru Mango Juice 500g,C03,Bru,500g,EA,2019-04-01,9999-12-31,True
1011,P100074,MDH Sambar Powder 200g,C06,MDH,200g,EA,2019-04-01,9999-12-31,True
1012,P100077,Catch Sambar Powder 100g,C06,Catch,100g,EA,2019-04-01,9999-12-31,True
1013,P100086,Heritage Ghee 1L,C02,Heritage,1L,EA,2019-04-01,9999-12-31,True
1014,P100095,Modern Rusk 6 pc,C11,Modern,6 pc,EA,2019-04-01,9999-12-31,True
1015,P100100,Sumeru French Fries 400g,C10,Sumeru,400g,EA,2019-04-01,9999-12-31,True
1016,P100106,Real Mango Juice 500g,C03,Real,500g,EA,2019-04-01,9999-12-31,True
1017,P100112,Bikano Khakhra 400g,C01,Bikano,400g,EA,2019-04-01,9999-12-31,True
1018,P100121,English Oven Pav Bun 400g,C11,English Oven,400g,EA,2019-04-01,9999-12-31,True
1019,P100131,Huggies Baby Powder Medium,C09,Huggies,Medium,EA,2019-04-01,9999-12-31,True
1020,P100135,Eastern Coriander Powder 100g,C06,Eastern,100g,EA,2019-04-01,9999-12-31,True
1021,P100140,Perfetti Milk Chocolate 50g,C13,Perfetti,50g,EA,2019-04-01,9999-12-31,True
1022,P100150,Everest Garam Masala 200g,C06,Everest,200g,EA,2019-04-01,9999-12-31,True
1023,P100156,Aashirvaad Toor Dal 1kg,C04,Aashirvaad,1kg,EA,2019-04-01,9999-12-31,True
1024,P100164,Colgate Face Wash 180ml,C07,Colgate,180ml,EA,2019-04-01,9999-12-31,True
1025,P100172,Modern Muffin Pack of 2,C11,Modern,Pack of 2,EA,2019-04-01,9999-12-31,True
1026,P100178,Comfort Fabric Conditioner 500ml,C08,Comfort,500ml,EA,2019-04-01,9999-12-31,True
1027,P100183,Pampers Diapers Large,C09,Pampers,Large,EA,2019-04-01,9999-12-31,True
1028,P100194,Nestle Candy Pack 25g,C13,Nestle,25g,EA,2019-04-01,9999-12-31,True
1029,P100198,Fortune Sunflower Oil 2L,C05,Fortune,2L,EA,2019-04-01,9999-12-31,True
1030,P100203,Aachi Sambar Powder 100g,C06,Aachi,100g,EA,2019-04-01,9999-12-31,True
1031,P100210,Huggies Baby Powder Small,C09,Huggies,Small,EA,2019-04-01,9999-12-31,True
1032,P100221,Mamypoko Baby Wipes Medium,C09,Mamypoko,Medium,EA,2019-04-01,9999-12-31,True
1033,P100224,Milky Mist Cheese Slices 500ml,C02,Milky Mist,500ml,EA,2019-04-01,9999-12-31,True
1034,P100233,Harvest Gold Muffin 6 pc,C11,Harvest Gold,6 pc,EA,2019-04-01,9999-12-31,True
1035,P100239,Huggies Diapers Small,C09,Huggies,Small,EA,2019-04-01,9999-12-31,True
1036,P100250,Heritage Cheese Slices 500g,C02,Heritage,500g,EA,2019-04-01,9999-12-31,True
1037,P100255,Sundrop Mustard Oil 1L,C05,Sundrop,1L,EA,2019-04-01,9999-12-31,True
1038,P100260,India Gate Toor Dal 5kg,C04,India Gate,5kg,EA,2019-04-01,9999-12-31,True
1039,P100268,Local Bakery Rusk 400g,C11,Local Bakery,400g,EA,2019-04-01,9999-12-31,True
1040,P100276,Gold Winner Mustard Oil 2L,C05,Gold Winner,2L,EA,2019-04-01,9999-12-31,True
1041,P100281,Milky Mist Paneer 500ml,C02,Milky Mist,500ml,EA,2019-04-01,9999-12-31,True
1042,P100287,Pampers Diapers Large,C09,Pampers,Large,EA,2019-04-01,9999-12-31,True
1043,P100298,Nandini Curd 500ml,C02,Nandini,500ml,EA,2019-04-01,9999-12-31,True
